NUM_OPER,MONTOCREDITO_log_est,MONTOCUOTA_log_est,SALDOCAPITAL_POR_VENCER_log_est,NUMERORENEGOCIACION_log_est,PLAZO_est,TASAINTERES_est,DIAS_MADURACION_est,DIAS_RESTANTES_est,PRODUCTO_COD_PROD_2_e,TIPOTASACOD_V_e,PERIOD_PAGO_OTROS_e
1454,-0.05421406,-0.035444997,-1.3713733,0.0,-0.025740646,-0.055314016,0.1448502,0.05729041,-0.039903924,0.0,0.0
1463,0.025516897,-0.02157986,-1.4199506,0.0,-0.08255303,-0.021351915,0.16532764,-0.0057055624,-0.010958031,0.0,0.0
1470,-0.006943861,-0.00030523213,1.576102,0.0,0.008323656,-0.014155749,0.065089315,0.018109132,-0.009821912,0.0,0.0
1481,-0.05808158,-0.04565854,-1.3943157,0.0,-0.15257344,-0.033016615,0.096587345,-0.0068254843,-0.010364816,0.0,0.0
1497,-0.050759178,-0.045762405,-1.3962462,0.0,-0.14994362,-0.028825833,0.07884643,-0.002170974,-0.009387015,0.0,0.0
1517,-0.06306009,0.0070614065,-1.3201883,0.0,-0.014204111,-0.04282515,0.06842286,0.18880579,-0.009360552,0.0,0.0
1531,0.022909764,0.00030320254,1.5636221,0.0,0.0038548175,-0.0075826794,0.060736317,-0.0031191965,-0.004327036,0.0,0.0
1550,-0.08116307,-0.06031446,-1.3893863,0.0,-0.06208218,-0.034607425,0.08556239,-0.0236801,-0.010282114,0.0,0.0
1557,-0.036592364,-0.01655193,-1.3868651,0.0,-0.048147816,-0.016082413,0.02011998,0.14303374,-0.010049863,0.0,0.0
1566,-0.060738973,-0.03337363,-1.4014437,0.0,-0.12738219,-0.037337158,0.06974091,-0.0044519706,-0.009262201,0.0,0.0
